size,red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
9067,145.75,76.67,40.04,10.39,182.88,145.76,29.04,182.38,124,-236,313,0.526037736,1.526037736,0.800754717,1.800754717,0.65529179,0.34470821,0.628182356,1.412670219,0.555322716,0.444677284
9820,150.82,81.58,42.11,11.02,182.91,150.82,27.13,190.29,106,-236,328,0.540909694,1.540909694,0.820116695,1.820116695,0.648967298,0.351032702,0.641113357,1.422847665,0.549415322,0.450584678
9891,137.1,60.5,36.69,14.35,185.78,137.1,39.91,160.91,122,-249,300,0.441283735,1.441283735,0.708898614,1.708898614,0.693825911,0.306174089,0.559238161,1.348121296,0.585172222,0.414827778
9796,131,55.75,35.4,8.5,184.54,131,39.85,151.35,119,-246,284,0.425572519,1.425572519,0.695801527,1.695801527,0.701472557,0.298527443,0.547776442,1.335036058,0.58969165,0.41030835
9140,159.03,126.98,62.57,19.38,154.51,159.03,-30.52,223.44,58,-238,335,0.798465698,1.798465698,1.191913475,2.191913475,0.556029509,0.443970491,0.855370036,1.57301444,0.456222388,0.543777612
8311,143.17,85.68,53.51,10.54,158.38,143.17,3.98,175.34,91,-247,289,0.598449396,1.598449396,0.97220088,1.97220088,0.625606292,0.374393708,0.707697783,1.435631483,0.50704774,0.49295226
8970,159.48,125.38,67.38,18,145.16,159.49,-33.28,217.48,56,-241,352,0.786180085,1.786180085,1.208678204,2.208678204,0.559853963,0.440146037,0.849687032,1.552675659,0.452759482,0.547240518
9116,152.72,109.2,63.91,14.34,145.33,152.72,-20.39,198.01,75,-243,344,0.715034049,1.715034049,1.13351231,2.13351231,0.583078803,0.416921197,0.799104464,1.504085307,0.468710677,0.531289323
9082,148.17,110.34,58.65,15.99,152.98,148.18,-20.82,199.86,72,-235,338,0.744685159,1.744685159,1.140514274,2.140514274,0.573169316,0.426830684,0.817087322,1.533507398,0.46717745,0.53282255
9447,142.82,106.86,55.97,16.5,152.66,142.83,-20.01,193.71,90,-247,333,0.748214536,1.748214536,1.140106428,2.140106428,0.572012176,0.427987824,0.819105589,1.537552191,0.467266481,0.532733519
9796,161.42,120.38,67.68,16.63,149.09,161.43,-26.64,214.12,68,-242,330,0.745756412,1.745756412,1.165035312,2.165035312,0.572817601,0.427182399,0.820864251,1.525447403,0.461886231,0.538113769
9430,168.3,117.86,68.23,14.7,150.57,168.31,-17.79,217.93,62,-242,320,0.700297089,1.700297089,1.1057041,2.1057041,0.588132513,0.411867487,0.786750095,1.498287744,0.474900533,0.525099467
9295,161.42,102.07,62.6,11.72,156.81,161.43,-3.25,200.89,72,-237,330,0.63232561,1.63232561,1.020133812,2.020133812,0.61262287,0.38737713,0.735068297,1.455628962,0.495016713,0.504983287
9211,144.67,85.71,53,10.77,162.76,144.67,5.96,177.38,85,-249,292,0.592451787,1.592451787,0.958802793,1.958802793,0.627962497,0.372037503,0.701725097,1.433601457,0.510515915,0.489484085
9322,153.8,88.1,49.91,10.83,171.87,153.81,15.79,191.99,92,-253,304,0.572821847,1.572821847,0.8973342,1.8973342,0.635799917,0.364200083,0.677482696,1.432477542,0.527055276,0.472944724
8871,153.14,89.63,48.16,11.48,173.07,153.14,15.35,194.61,82,-250,294,0.585281442,1.585281442,0.899764921,1.899764921,0.630802817,0.369197183,0.684500745,1.445255837,0.526380916,0.473619084
8550,156.92,100.96,57.86,12.58,160.49,156.92,-1.9,200.02,79,-244,325,0.643385164,1.643385164,1.012108081,2.012108081,0.608500078,0.391499922,0.739454325,1.470062389,0.496991195,0.503008805
8837,160.14,97.83,57.38,11.4,162.8,160.14,4.93,200.59,82,-245,320,0.61090296,1.61090296,0.969214437,1.969214437,0.620769857,0.379230143,0.713543582,1.449751747,0.507816712,0.492183288
10051,154.23,115.64,63.92,16.61,150.5,154.23,-25.33,205.95,51,-241,345,0.749789276,1.749789276,1.164235233,2.164235233,0.571497388,0.428502612,0.823103369,1.530093972,0.462056982,0.537943018
9635,150.07,117.96,57.22,19.01,157.14,150.08,-25.11,210.81,37,-244,325,0.786033185,1.786033185,1.167321916,2.167321916,0.559900011,0.440099989,0.845096242,1.569057842,0.461398924,0.538601076
10085,141.46,100.42,54.2,15.91,158.26,141.46,-13.16,187.68,59,-248,319,0.709882652,1.709882652,1.093029832,2.093029832,0.584835456,0.415164544,0.79024839,1.513237248,0.477776277,0.522223723
10061,153.62,114.71,61.87,16.83,151.88,153.62,-22.96,206.46,47,-242,328,0.746712668,1.746712668,1.149459706,2.149459706,0.572504006,0.427495994,0.819434777,1.532321685,0.465233192,0.534766808
10041,159.12,121.19,67.09,17.15,146.89,159.12,-29.16,213.22,38,-244,338,0.761626445,1.761626445,1.183257919,2.183257919,0.567657237,0.432342763,0.832323947,1.535741126,0.458031088,0.541968912
10025,151.28,107.94,60.76,15.34,152.12,151.28,-17.42,198.46,62,-242,324,0.71351137,1.71351137,1.115150714,2.115150714,0.583596945,0.416403055,0.795604603,1.509054895,0.472779549,0.527220451
9775,150.58,106.65,56.48,15.83,159.27,150.58,-12.55,200.75,57,-246,319,0.708261389,1.708261389,1.083344402,2.083344402,0.585390507,0.414609493,0.787839274,1.515068096,0.47999745,0.52000255
9504,144.25,104.18,54.81,16.31,157.55,144.25,-14.74,193.62,45,-236,308,0.722218371,1.722218371,1.102183709,2.102183709,0.58064646,0.41935354,0.798703908,1.523359791,0.475695818,0.524304182
9650,149.14,110.17,57.3,16.76,155.61,149.14,-18.33,202.01,44,-246,328,0.738701891,1.738701891,1.122904653,2.122904653,0.575141722,0.424858278,0.811228444,1.533665956,0.471052715,0.528947285
9306,161.36,122.06,66.85,17.28,149.03,161.36,-27.55,216.57,33,-243,324,0.756445216,1.756445216,1.170736242,2.170736242,0.569331734,0.430668266,0.827790193,1.534858245,0.460673195,0.539326805
9808,151.26,113.93,56.87,17.99,159.46,151.26,-19.54,208.32,42,-241,328,0.7532064,1.7532064,1.129181542,2.129181542,0.570383499,0.429616501,0.820640946,1.547398261,0.469664038,0.530335962
10264,149.59,111.01,56.03,17.53,160.39,149.59,-17.45,204.57,38,-236,316,0.74209506,1.74209506,1.116652183,2.116652183,0.574021489,0.425978511,0.812372337,1.539879389,0.472444178,0.527555822
9982,149.29,115.17,55.1,18.71,161.73,149.29,-20.98,209.36,37,-243,320,0.771451537,1.771451537,1.140531851,2.140531851,0.56450881,0.43549119,0.83306424,1.563481579,0.467173614,0.532826386
10084,148.37,113.95,55.16,18.59,160.5,148.38,-20.74,207.16,32,-242,311,0.768012401,1.768012401,1.139785671,2.139785671,0.565606892,0.434393108,0.830884882,1.559868324,0.467336525,0.532663475
8926,163.3,126.9,64.68,18.49,154.39,163.3,-28.28,225.52,58,-242,342,0.777097367,1.777097367,1.1731782,2.1731782,0.562715369,0.437284631,0.840336872,1.556627774,0.460155546,0.539844454
8734,143.24,107.42,54.22,17.08,157.72,143.24,-18.4,196.44,54,-256,325,0.749930187,1.749930187,1.128455739,2.128455739,0.571451368,0.428548632,0.818596171,1.544008913,0.469824193,0.530175807
8858,161.76,122.07,61.24,17.73,157.59,161.76,-21.55,222.59,68,-248,347,0.754636499,1.754636499,1.133222057,2.133222057,0.569918613,0.430081387,0.822017937,1.547399103,0.468774452,0.531225548
8955,163.16,120.61,60.57,17.24,157.35,163.16,-18.02,223.2,58,-240,340,0.739213042,1.739213042,1.110443736,2.110443736,0.574972689,0.425027311,0.809815402,1.539087293,0.473834001,0.526165999
8951,164.15,129.07,63.78,19.03,153.42,164.15,-28.7,229.44,80,-231,350,0.786293025,1.786293025,1.174840085,2.174840085,0.559818566,0.440181434,0.846093099,1.566270346,0.459803922,0.540196078
9111,163.77,131.67,66.17,19.48,151.27,163.77,-34.07,229.27,45,-235,353,0.803993405,1.803993405,1.20803566,2.20803566,0.554325751,0.445674249,0.860398365,1.572627642,0.452891236,0.547108764
8606,148.89,103.28,56.89,14.82,157.29,148.9,-11.28,195.28,70,-240,330,0.693666465,1.693666465,1.075760629,2.075760629,0.590435024,0.409564976,0.778355525,1.501895228,0.481751116,0.518248884
8740,143.77,96.97,48.63,14.93,169.67,143.78,-1.83,192.11,78,-244,322,0.674480072,1.674480072,1.012728664,2.012728664,0.597200299,0.402799701,0.756756757,1.504002079,0.496837958,0.503162042
8911,156.26,117.05,60.08,16.94,155.8,156.26,-20.87,213.23,52,-201,342,0.749072059,1.749072059,1.133559452,2.133559452,0.571731733,0.428268267,0.818757511,1.541046501,0.468700321,0.531299679
9152,168.46,120.26,61.08,16.44,161.54,168.46,-12.88,227.64,62,-235,336,0.713878666,1.713878666,1.076457319,2.076457319,0.583471876,0.416528124,0.790014812,1.5239174,0.48158948,0.51841052
8819,156.06,114.84,58.13,17.33,160.67,156.07,-16.91,212.77,64,-245,322,0.735870819,1.735870819,1.108355761,2.108355761,0.576079734,0.423920266,0.807554041,1.536159485,0.474303255,0.525696745
8485,149.97,113.9,57.5,17.74,157.18,149.98,-21.43,206.37,53,-239,337,0.75948523,1.75948523,1.142895246,2.142895246,0.56834805,0.43165195,0.826143539,1.548995035,0.466658369,0.533341631
8666,152.74,119.67,61.78,18.47,151.6,152.74,-28.71,210.63,49,-236,333,0.783488281,1.783488281,1.187966479,2.187966479,0.560698946,0.439301054,0.84584188,1.557850084,0.457045393,0.542954607
8697,147,112.48,58.85,17.5,154.87,147.01,-24.33,200.63,58,-251,323,0.765170068,1.765170068,1.165510204,2.165510204,0.566517651,0.433482349,0.832305077,1.546417294,0.46178494,0.53821506
10979,173.41,127.53,67.93,16.34,154.48,173.41,-22.05,233.01,96,-229,347,0.735424716,1.735424716,1.127155297,2.127155297,0.576227819,0.423772181,0.809894754,1.528424629,0.470111421,0.529888579
10170,143.24,87.5,47.41,11.56,168.68,143.25,8.33,183.33,99,-249,325,0.610862887,1.610862887,0.941845853,1.941845853,0.620785299,0.379214701,0.707631786,1.458956202,0.514973935,0.485026065
10634,157.18,100.26,56.35,12.34,163.95,157.18,0.57,201.09,114,-244,346,0.637867413,1.637867413,0.996373584,1.996373584,0.610550031,0.389449969,0.733433241,1.469535897,0.500908251,0.499091749
10663,155.27,105.42,55.89,14.11,163.39,155.27,-6.04,204.8,102,-237,337,0.678946352,1.678946352,1.038899981,2.038899981,0.595611646,0.404388354,0.763923091,1.499242281,0.490460547,0.509539453
