red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow,Sweetness
189.31,159.45,93.99,28.55,130.74,189.47,-64.13,254.77,112,-225,357,13.95
193.46,148.31,88.82,26.11,137.84,193.46,-43.67,252.95,93,-241,370,13.95
179.48,184.08,78.62,30.69,151.11,186.19,-83.22,284.94,30,-252,373,12.6
177.93,180.42,84.39,29.39,139.82,184.61,-86.88,273.96,44,-244,364,12.6
187.89,149.27,78.6,20.03,149.75,189.18,-39.98,258.56,72,-229,376,12.6
192.17,178.36,103.25,25.53,125.29,194.9,-89.44,267.28,71,-242,363,12.6
189.68,189.31,100.4,29.61,127.89,196.9,-100.03,278.59,64,-224,359,12.6
177.12,185.78,76.41,31.52,152.36,186.76,-85.07,286.49,19,-204,373,12.6
180.93,136.13,75.56,26.74,152.96,181.26,-30.76,241.5,134,-243,375,12.6
177.12,170.85,84.48,26.24,136.35,181.06,-78.21,263.49,37,-209,366,12.6
183.44,131.53,76.55,24.61,152.16,183.7,-24.64,238.42,151,-172,361,12.6
190.36,143.53,81.85,19.19,146.79,190.36,-35.02,252.04,148,-198,357,12.6
195.86,165.69,88.36,21.36,141.2,195.86,-58.19,273.19,78,-167,380,12.6
193.28,167.86,89.07,22.97,138.72,193.31,-63.65,272.07,81,-190,366,12.6
162.21,105.98,60.27,19.8,168.28,162.22,-4.04,207.92,130,-246,355,12.15
170.79,121.95,74.79,29.06,150.04,171.06,-25.95,217.95,124,-236,362,12.15
155.85,67.61,51.04,37.15,178.71,155.85,37.2,172.42,147,-210,360,12.15
174.61,93.56,61.83,11.66,165.71,174.61,19.22,206.34,138,-191,333,12.15
189.07,159.92,86.35,20.57,142.91,189.08,-57.2,262.64,95,-189,387,12.15
179.35,108.65,68.44,38.9,163.65,179.35,2.26,219.56,122,-200,355,12.15
147.66,66.35,51.37,65.8,178.64,147.66,29.94,162.64,146,-249,367,12.65
172.08,108.35,75.42,39.65,148.12,172.38,-11.69,205.01,122,-249,350,12.65
125.04,30.98,43.65,158.93,192.04,125.04,50.41,112.37,118,-214,248,12.65
169.24,62.35,53.14,41.19,176.17,169.24,53.75,178.45,144,-171,296,12.65
178.43,95.19,61.39,15.73,167.46,178.43,21.85,212.23,129,-200,342,12.65
145.75,54.33,50.16,82.65,175.62,145.75,41.26,149.92,117,-234,312,12.65
165.21,115.6,57.2,21.42,176.2,165.63,-7.59,223.61,159,-228,385,13.1
165.31,128.13,61.89,18.75,170.06,166.54,-24.71,231.55,91,-234,372,13.1
155.77,58,39.4,41.17,195.47,155.77,58.37,174.37,145,-245,328,13.1
176.21,101.12,54.01,15.92,182.74,176.77,21.08,223.32,149,-192,387,13.1
171.53,96.83,49.02,20.99,189.78,171.53,25.68,219.34,127,-205,359,13.1
150.42,67.2,39.58,10.83,192.79,150.42,43.64,178.04,139,-242,331,13.1
176.76,105.8,66.12,35.73,164.37,176.76,4.84,216.44,133,-220,390,14.8
156.13,73.87,64.86,76.6,161.47,156.16,17.4,165.14,134,-201,344,14.8
116.82,32.13,49.01,156.16,186.94,116.82,35.68,99.94,97,-246,262,14.8
170.39,58.67,54.98,89.82,181.41,170.39,56.74,174.08,144,-249,320,14.8
178.89,98.11,57.83,29.35,174.82,178.89,22.95,219.17,139,-168,374,14.8
127.13,35.54,48.01,133.41,185.6,127.13,43.58,114.66,145,-232,285,14.8
151.71,71.91,55.56,71.58,173.32,151.71,24.24,168.06,158,-248,346,12.85
167.49,130.02,71.87,34.18,150.84,168.83,-34.4,225.64,111,-222,372,12.85
157.67,52.59,48.67,73.67,182.79,157.67,56.41,161.59,174,-237,304,12.85
165.07,69.01,52.63,60.08,181.55,165.07,43.43,181.45,150,-228,391,12.85
158.79,41.81,46.79,123.17,192.91,158.79,70.19,153.81,170,-191,299,12.85
164.51,82.11,54.71,36.16,171.55,164.51,27.69,191.91,133,-180,340,12.85
168.67,132.51,68.35,19.06,158.96,170.05,-32.19,232.83,124,-244,372,12.2
165.53,89.52,59.55,17.47,169.47,165.68,16.46,195.5,148,-250,354,12.2
158.57,60.16,41.09,23.72,191.14,158.57,57.32,177.64,144,-217,342,12.2
184.73,105.74,63.02,14.34,171.25,184.73,15.97,227.45,135,-149,359,12.2
190.29,155.3,82.86,19.65,148.34,190.29,-47.87,262.73,94,-225,357,12.2
182.06,111.88,64.51,16.89,169.63,182.06,5.67,229.43,124,-172,350,12.2
155.96,97.16,57.85,17.51,166.99,155.97,0.95,195.27,129,-244,365,14.35
159.25,122.18,70.07,22.33,149.06,160.11,-33,211.36,127,-246,363,14.35
132.9,49.25,45.13,57.49,177.24,132.9,38.52,137.02,128,-233,301,14.35
142.95,81.3,53.43,15.03,165.24,142.95,8.22,170.82,113,-239,346,14.35
173.19,160.29,73.05,24.69,149.74,173.83,-60.15,260.43,63,-206,384,14.35
170.97,136.23,65.19,28.69,161.38,171.04,-30.45,242.01,111,-189,384,14.35
178.01,85.37,53.92,44,182.54,178.01,38.72,209.46,157,-244,366,14.8
153.59,51.62,59.23,122.05,175.96,153.6,42.74,145.98,166,-228,356,14.8
117.62,34.04,52.18,158.34,181.47,117.62,31.4,99.48,139,-203,253,14.8
176.16,64.35,48.97,43.56,186.89,176.16,62.84,191.54,181,-247,341,14.8
184.8,76.94,48.47,40.46,190.28,184.8,59.39,213.27,158,-166,358,14.8
137.97,39.73,53.52,138.88,184.5,137.98,44.72,124.18,169,-241,277,14.8
179.94,140.65,75.65,19.55,153.88,181.88,-36.36,244.94,134,-239,379,12.4
171.49,155.76,78.12,23.87,144.73,174.81,-62.39,249.13,71,-225,370,12.4
185.12,130.53,72.42,16.04,157.33,185.22,-17.83,243.23,116,-242,369,12.4
185.86,173.04,80.18,25.88,149.21,188.78,-67.36,278.72,80,-245,366,12.4
180.56,157.7,76.36,22.71,152.01,181.29,-53.5,261.9,101,-234,370,12.4
188.05,126.64,69.78,14.79,163.96,188.05,-8.37,244.91,101,-228,375,12.4
176.92,146.58,68.22,21.29,162.46,177.65,-37.88,255.28,103,-218,389,12.4
156.01,66.77,52.06,51.79,178.07,156.03,37.18,170.72,153,-247,321,12.4
167.54,77.31,47.52,32.93,185.72,167.54,42.71,197.33,165,-242,359,12.4
174.98,109.64,60.74,13.15,169.35,174.98,4.6,223.88,132,-208,364,12.4
178.1,113.65,65.23,29.72,166.86,178.1,-0.78,226.52,139,-196,351,12.4
163.53,78.48,49.95,58.27,187.19,163.53,35.1,192.06,152,-223,357,12.4
171.9,141.41,75.73,24.81,147.51,173.09,-45.24,237.58,108,-234,374,12.85
151.02,73.69,73.96,106.79,142.91,151.03,3.37,150.75,145,-207,316,12.85
160.22,62.56,53.26,80.78,178.54,160.22,44.4,169.52,147,-198,320,12.85
179.79,127.29,72.49,21.49,156,180.51,-19.99,234.59,139,-214,383,12.85
172.19,114.46,80.57,49.42,143.39,172.37,-22.84,206.08,137,-235,374,12.85
146.7,52.64,55.74,120.25,171.8,146.7,38.32,143.6,151,-203,301,12.85
177.83,135.43,83.33,48.86,141.93,178.96,-40.93,229.93,129,-242,368,14.15
151.99,65.86,71.17,124.6,154.76,151.99,14.96,146.68,162,-208,317,14.15
115.3,34.83,47.33,147.7,181.96,115.3,33.14,102.8,141,-246,310,14.15
170.43,98.28,74.34,76.81,158.58,170.97,-2.19,194.37,146,-191,344,14.15
192.26,150.85,91.55,33.89,136.31,192.26,-50.14,251.56,88,-237,371,14.15
123.31,42.32,54.82,150.76,171.6,123.31,26.17,110.81,123,-228,292,14.15
204.79,169.15,83.49,21.38,152.63,204.79,-47.85,290.45,98,-187,402,13.1
159.95,58.19,62.12,116.57,176.35,159.95,39.64,156.02,154,-249,331,13.1
177.87,109.74,64.8,51.67,168.79,177.88,3.33,222.81,198,-219,393,13.1
200.68,116.27,65.93,26.49,172.9,200.68,18.48,251.02,157,-181,359,13.1
192.57,93.69,63.55,49.84,176.9,192.57,35.33,222.71,181,-172,371,13.1
178.57,102.91,65.69,70.59,172.82,178.57,9.97,215.79,181,-230,403,13.1
180.72,109.73,62.73,31.71,169.42,180.72,8.26,227.72,149,-248,405,14.8
174.99,79.79,64.04,67.21,169.88,175.02,31.16,190.74,152,-188,368,14.8
144.47,42.51,58.76,153.89,182.61,144.47,43.2,128.22,147,-233,315,14.8
197.49,106.33,65.6,25.35,171.29,197.49,25.56,238.22,166,-176,362,14.8
194.43,123.83,58.94,19.54,178.12,194.43,11.66,259.32,134,-179,374,14.8
159.73,48.22,48.38,103.65,194.67,159.73,63.13,159.57,180,-243,357,14.8
187.69,112.13,59.57,12.99,178.86,187.7,15.99,240.25,152,-220,374,14.3
151.31,78.44,44.76,52.74,185.73,151.46,28.11,184.99,143,-219,340,14.3
120.52,30.87,32.66,112.7,202.75,120.52,56.99,118.73,149,-211,326,14.3
131.83,40.09,42.63,118.92,196,131.83,49.11,129.29,126,-227,336,14.3
