red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
156.53,41.7,39.84,96.92,203.99,156.53,74.99,158.39,159.0,-206.0,327.0,0.2664026065290998,1.2664026065291,0.5209225068676931,1.5209225068676933,0.7896382989456691,0.2103617010543308,0.4152365432601721,1.212354229261089,0.6574956945436216,0.3425043054563784
155.0,56.95,48.92,90.43,183.51,155.0,49.13,163.03,151.0,-179.0,375.0,0.3674193548387097,1.3674193548387097,0.6830322580645162,1.683032258064516,0.7313045529606039,0.2686954470393961,0.5191741859552765,1.2792761867398978,0.5941656763905393,0.4058343236094606
165.13,60.78,43.13,64.8,191.85,165.13,61.22,182.78,140.0,-137.0,338.0,0.3680736389511294,1.3680736389511294,0.6292617937382669,1.629261793738267,0.730954805010845,0.2690451949891549,0.4989436281571113,1.291846730048977,0.6137749033600951,0.3862250966399048
171.07,80.59,50.33,54.95,183.38,171.08,40.15,201.33,163.0,-233.0,361.0,0.4710937043315602,1.4710937043315602,0.7653007540772784,1.7653007540772785,0.6797663514265279,0.3202336485734721,0.5913279132791329,1.3640018066847337,0.566475711116262,0.4335242888837379
130.84,43.93,56.3,141.08,175.83,130.84,30.61,118.47,144.0,-207.0,338.0,0.3357535921736472,1.3357535921736472,0.7660501375726076,1.7660501375726076,0.7486410711220461,0.2513589288779538,0.5355883295928182,1.2347440418937694,0.5662353399402779,0.4337646600597221
174.33,103.88,62.0,44.0,168.18,174.33,8.45,216.21,134.0,-194.0,377.0,0.5958813744048642,1.5958813744048643,0.9515287099179716,1.951528709917972,0.6266129901872686,0.3733870098127313,0.7018998857529725,1.4395548597300385,0.5124188001528468,0.4875811998471531
192.49,92.73,54.51,14.32,184.27,192.49,45.25,230.71,150.0,-130.0,349.0,0.4817393111330458,1.481739311133046,0.7649228531352278,1.764922853135228,0.6748825468059743,0.3251174531940256,0.5961133603238867,1.375425101214575,0.5665970035027816,0.4334029964972183
188.97,160.03,83.08,21.37,149.46,189.01,-54.14,265.92,116.0,-222.0,378.0,0.8468539979890988,1.8468539979890988,1.2865005027253005,2.2865005027253003,0.5414613180515759,0.458538681948424,0.8936224958647307,1.5882374563499355,0.4373495648953897,0.5626504351046103
206.05,159.6,88.4,18.03,146.79,206.05,-41.95,277.25,61.0,-223.0,380.0,0.7745692793011404,1.7745692793011405,1.203591361320068,2.2035913613200675,0.563517024476959,0.4364829755230411,0.8422482594668024,1.5420275089149258,0.4538046470653012,0.5461953529346989
150.82,54.0,51.55,110.31,186.8,150.82,45.27,153.27,146.0,-160.0,365.0,0.3580426999071741,1.3580426999071742,0.6998408699111524,1.6998408699111525,0.7363538716922176,0.2636461283077824,0.5215694025794337,1.26683797005485,0.5882903615867691,0.4117096384132309
