1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area,Sweetness
180.53,163.72,67.94,-51.13,276.31,88,-211,391,9083,162.48,109.97,63.85,-11.34,208.6,102,-245,349,9120,159.94,78.24,49.78,31.92,188.4,123,-245,306,8758,176.46,136.93,61.02,-21.49,252.37,98,-188,402,8578,190.41,166.91,70.64,-47.14,286.68,57,-242,390,9065,186.66,146.06,76.44,-35.84,256.28,86,-207,371,8561,0.942530001,15.2
184.37,183.01,75.48,-74.12,291.9,62,-217,369,11111,162.77,105.04,63.02,-5.29,204.79,136,-232,370,10853,159.46,72.36,48.36,38.74,183.46,143,-185,401,10654,186.8,164.83,77.31,-55.34,274.32,112,-177,369,11180,182.29,161.38,76.19,-55.28,267.48,76,-204,376,11251,156.79,90.43,52.21,14.15,195.01,126,-245,388,10459,0.941319413,12.9
186.2,175.88,80.08,-69.76,282,103,-220,376,9318,158.39,110.68,57.22,-9.51,211.85,138,-247,354,9075,152.48,52.19,44.4,55.89,160.27,150,-249,374,9036,188.81,164.41,79.03,-54.63,274.19,91,-226,373,9021,189.72,167.11,78.85,-56.24,277.98,79,-214,378,9074,162.73,75.94,50.22,36.57,188.45,154,-206,371,8780,0.942262288,13.8
175.56,137.03,55.89,-17.36,256.7,152,-227,402,16777,174.43,105.33,59.04,10.06,220.72,164,-241,385,15460,143.76,49.51,57.22,37.03,136.05,147,-207,415,15665,175.09,70.08,55.34,49.67,189.83,145,-250,334,15688,199.78,127.89,53.79,18.1,273.88,130,-212,371,16235,178.46,76.95,49.21,52.3,206.2,186,-241,400,15836,0.943911307,14.5
192.24,162.16,61.12,-31.04,293.28,114,-245,402,11149,175.74,106.46,51.54,17.74,230.66,154,-248,384,10884,191.43,121.5,51.39,18.54,261.54,137,-198,374,10762,183.65,119.22,44.04,20.39,258.83,126,-244,401,10862,194.11,143.21,59.37,-8.47,277.95,135,-228,393,10558,195.36,127.07,56.3,11.99,266.13,118,-239,364,10950,0.982150866,13.85
178.59,168.24,82.95,-72.6,263.88,89,-223,364,11730,176.19,164.32,84.6,-72.73,255.91,48,-245,347,11378,183.26,150.11,80.07,-46.92,253.3,119,-201,379,11107,186.33,169.2,86.16,-69.03,269.37,64,-209,363,10950,182.3,172.27,83.47,-73.44,271.1,47,-194,366,11212,185.53,166.72,89.58,-70.77,262.67,53,-202,360,11004,0.938107417,11.5
164.48,129.6,67.57,-32.69,226.51,98,-241,359,5778,148.84,87.49,59.36,1.99,176.97,121,-229,324,5632,132.26,40.9,38.38,52.98,134.78,119,-179,279,5542,168.05,135.15,66.23,-33.33,236.97,112,-208,363,5556,170.51,166.31,68.96,-64.76,267.86,42,-244,367,5321,146.11,73.49,45.39,27.23,174.21,110,-246,322,5656,0.978885427,12
169.74,159.27,78.09,-67.62,250.92,108,-222,351,7298,165.66,154.97,75.29,-64.6,245.34,87,-245,367,7174,162.9,93.02,59.38,10.5,196.54,108,-187,321,7049,170.13,167.95,80.79,-78.61,257.29,75,-209,353,6814,180.86,184.97,94.95,-99.06,270.88,19,-245,347,6880,173.87,151.15,79.23,-56.51,245.79,86,-199,350,7159,0.980953686,9.7
163.63,125.63,64.47,-26.47,224.79,138,-250,350,9356,161.89,147.71,63.59,-49.41,246.01,107,-250,354,8888,153.38,84.98,42.85,25.55,195.51,134,-246,375,8504,165.87,139.64,61.83,-35.6,243.68,118,-248,361,9050,178.84,178.52,71.12,-70.8,286.24,34,-240,367,8725,166.16,126.31,58.37,-18.52,234.1,113,-234,367,9034,0.965583583,10.6
147.85,60.52,48.78,38.55,159.59,145,-245,333,8736,128.73,55.2,46.65,26.88,137.28,114,-242,312,8276,112.53,26.1,36.25,50.18,102.38,133,-185,245,7780,143.41,37.78,42.24,63.39,138.95,156,-179,309,8320,167.43,84.55,42.79,40.09,209.19,145,-250,349,8284,121.09,34.82,38.55,47.72,117.36,122,-225,334,8216,0.94047619,13.1
150.84,79.49,52.94,18.41,177.39,136,-186,397,11739,158.32,103.08,64.34,-9.1,197.06,142,-235,358,11373,138.01,49.44,48.5,40.07,138.95,146,-250,350,11502,177.38,112.88,58.82,5.68,231.44,145,-251,387,11445,183.15,155.64,71.98,-44.47,266.81,53,-223,403,11546,163.01,93.17,59.97,9.87,196.21,115,-185,351,10911,0.929465883,13.2
128.12,48.27,51.75,28.1,124.64,131,-249,309,9867,148.63,71.11,53.33,24.19,166.41,151,-174,362,9634,126.59,29.38,44.19,53.02,111.78,117,-147,276,9619,147.23,40.56,46.44,60.23,141.35,137,-126,316,9937,149.27,43.82,36.55,68.9,156.54,160,-186,336,10143,140.2,30.12,42.14,67.94,128.18,145,-235,309,10035,1.017026452,14.75
178.24,168.82,72.13,-62.71,274.93,97,-249,372,9609,172.84,143.72,71.45,-42.33,245.11,83,-237,376,9016,182.41,144.8,68.57,-30.96,258.64,82,-245,373,9273,180.78,173.14,73.05,-65.41,280.87,85,-208,365,9009,182,182.09,72.64,-72.73,291.45,26,-187,379,9155,185.37,155.36,78.17,-48.16,262.56,60,-232,374,9316,0.969507753,12.7
176.31,150.65,63.74,-38.08,263.22,99,-242,393,14256,178.49,158.2,69.75,-49.46,266.94,97,-218,391,13667,181.97,104.23,49.64,28.1,236.56,150,-246,374,13351,188.55,122.67,56.04,9.84,255.18,135,-223,383,13259,189.63,160.17,73.64,-44.18,276.16,72,-220,376,13544,190.73,110.32,61.03,19.38,240.02,141,-188,397,13917,0.976220539,13.25
181.1,176.64,75.35,-70.89,282.39,68,-248,370,9890,182.41,156.04,79.25,-52.88,259.2,109,-233,361,9867,194.85,136.88,72.89,-14.92,258.84,136,-198,353,9878,184.86,182.78,80.47,-78.39,287.17,77,-247,364,9746,181.52,144.55,65.73,-28.76,260.34,120,-227,373,9484,177.24,143.24,69.12,-35.12,251.36,107,-225,373,9382,0.948634985,12.3
176.27,167.91,72.74,-64.38,271.44,112,-213,367,11330,172.91,162.53,75.38,-65,260.06,56,-220,358,10744,183.89,118.72,58.07,7.1,244.54,145,-201,368,10494,175.41,164.06,67.51,-56.16,271.96,65,-218,376,10351,181.39,182.15,76.93,-77.69,286.61,16,-247,366,10437,178.74,166.41,72.07,-59.74,273.08,85,-250,390,10339,0.912533098,11.45
183.42,187.9,78.56,-83.04,292.76,22,-205,386,7979,170.55,126.09,63.16,-18.7,233.48,123,-249,372,7818,184.54,142.04,69.45,-26.95,257.13,128,-248,363,8000,178.4,178.84,73.04,-73.48,284.2,72,-245,376,7553,175.53,172.98,68.32,-65.77,280.19,36,-213,371,7557,175.2,153.21,70.92,-48.93,257.49,97,-203,368,7456,0.934452939,12.5
154.95,102.69,53.26,-1,204.38,130,-245,360,7323,163.55,148.92,66.38,-51.75,246.09,70,-245,360,7038,143.3,65.79,44.74,32.77,164.35,127,-196,315,7180,159.67,136.36,55.66,-32.35,240.37,77,-246,371,6873,173.04,172.73,62.59,-62.28,283.18,54,-241,375,6965,161.35,115.28,52.45,-6.38,224.18,123,-244,380,6664,0.910009559,12.95
173.61,127.1,62.13,-15.62,238.58,127,-247,371,8561,170.82,124.44,66.35,-19.97,228.91,136,-234,373,8440,144.13,45.75,39.02,59.36,150.86,145,-241,297,7951,174.51,112.53,56.13,5.85,230.91,159,-252,384,7979,191.12,174.32,78.93,-62.13,286.51,61,-214,376,7920,177.24,117.15,58.81,1.28,235.58,125,-169,389,8179,0.955379045,13.35
179.89,174.51,73.75,-68.37,280.65,105,-246,374,9357,163.92,117.05,64.94,-18.07,216.03,137,-245,360,9175,149.09,64.16,40.65,44.28,172.6,147,-250,285,9040,177.55,174.09,69.22,-65.76,282.42,78,-245,374,9245,175.94,150.72,66.1,-40.88,260.56,106,-245,375,9061,151.85,68.31,42.71,40.83,177.45,151,-243,355,9157,0.978625628,11.4
170.18,165.23,68.47,-63.52,266.94,69,-238,375,6338,168.33,162.54,78.65,-72.86,252.22,72,-248,359,6252,154.46,126.93,54.07,-26.54,227.32,65,-239,396,5968,183.72,169.83,80.96,-67.07,272.59,88,-210,372,6098,173.81,177.47,76.11,-79.77,275.17,40,-213,367,6043,160.2,157.27,60.55,-57.62,256.92,61,-247,365,6041,0.953139792,11
180.32,167.8,70.21,-57.69,277.91,84,-238,370,10096,167.94,117.39,59.99,-9.44,225.34,120,-245,361,9758,169.65,111.81,54.35,3.49,227.11,128,-235,376,9454,178.34,118.59,53.92,5.83,243.01,141,-246,373,9601,185.03,171.13,71.49,-57.59,284.67,78,-197,385,9541,180.9,152.5,70.12,-41.72,263.28,96,-228,378,9959,0.986430269,12.1
176.39,168.61,68.15,-60.37,276.85,61,-216,383,10765,165.23,154.52,64.84,-54.13,254.91,104,-247,363,10285,169.36,116.4,52.1,0.86,233.66,135,-247,388,10217,175.93,154.3,64.95,-43.32,265.28,75,-246,382,10247,178.55,185.31,69.63,-76.39,294.23,16,-174,376,10116,176.3,147.89,67.89,-39.48,256.3,105,-212,373,10610,0.985601486,12.95
166.39,166.63,67.52,-67.76,265.5,38,-246,366,8690,158.6,143.16,61.03,-45.59,240.73,83,-246,374,8490,168.58,113.65,56.91,-1.98,225.32,113,-201,340,8455,167.59,155.18,63.78,-51.37,258.99,67,-213,369,8084,168.2,171.52,66.25,-69.57,273.47,23,-245,365,8088,172.35,147.82,66.68,-42.15,253.49,90,-234,374,8192,0.94269275,11.4
177.55,156.33,68.67,-47.45,265.21,102,-235,382,8895,173.76,149.35,69.66,-45.25,253.45,111,-219,371,8941,173.57,100.47,54.16,18.94,219.88,146,-192,376,8666,179.07,170.36,69.05,-60.34,280.38,104,-242,374,8285,186.47,167.81,72.3,-53.64,281.98,106,-246,380,8971,183.49,131.95,68.2,-16.66,247.24,115,-245,366,8699,0.977965149,13.1
175.75,184.66,83.59,-92.5,276.82,29,-210,358,6684,165.71,167.13,73.13,-74.55,259.71,57,-247,347,6639,173.56,148.41,71.26,-46.11,250.71,66,-243,366,6630,172.11,179.55,74.48,-81.92,277.18,53,-216,359,6587,174.55,176.02,77.97,-79.44,272.6,21,-244,363,6255,178.67,172.96,81.2,-75.49,270.43,57,-242,362,6416,0.959904249,11.6
175.16,155.5,70.16,-50.5,260.5,86,-234,369,9983,171.12,119.08,66.17,-14.13,224.03,123,-246,363,9770,177.3,105.08,57.38,14.84,225,135,-250,343,9725,192.15,140.38,72.94,-21.17,259.59,115,-235,372,9758,181.32,163,72.42,-54.1,271.9,93,-249,366,9987,171.27,115.82,55.87,-0.42,231.22,151,-242,387,9742,0.97585896,12.45
169.59,85.69,56.97,26.93,198.31,149,-241,370,12973,177.03,109.26,56.82,10.95,229.47,125,-242,365,12475,156.33,51.33,44.08,60.92,163.58,148,-174,359,12749,169.93,59.05,41.41,69.47,187.57,154,-191,331,12151,194.73,113.79,56.33,24.61,252.19,131,-244,347,12682,163.59,45.37,45.41,72.81,163.55,177,-236,330,12710,0.979727126,13.7
158.89,150.9,63.95,-55.96,245.84,40,-248,372,6216,145.21,91.2,55.36,-1.35,181.05,103,-249,319,6241,140.59,91.9,42.89,5.8,189.6,117,-194,356,5901,152.63,123.51,50.34,-21.22,225.8,87,-244,402,6037,167.48,161.54,60.29,-54.35,268.73,62,-223,375,5882,156.38,118.17,52.8,-14.59,221.75,91,-204,366,6217,1.000160875,13.7
185.84,164.6,79.37,-58.13,271.07,134,-245,369,9207,168.63,130.47,70.08,-31.92,229.02,132,-245,360,9130,146.8,39.75,32.78,74.27,153.77,162,-244,251,8745,177.06,141.63,72.6,-37.17,246.09,107,-244,352,9346,194.28,184.56,91.31,-81.59,287.53,49,-249,360,8931,172.14,115.58,59.66,-3.1,228.06,164,-241,368,9104,0.98881286,10.5
179.88,145.02,64.71,-29.85,260.19,106,-248,383,10614,167.41,103.04,63.23,1.14,207.22,167,-242,374,10300,152.16,45.65,42.24,64.27,155.57,155,-199,308,10140,191.94,133.26,70.54,-11.86,254.66,149,-199,383,10264,190.67,159.95,76.6,-45.88,274.02,109,-245,376,10452,159.56,60.05,51.78,47.73,167.83,149,-223,310,10161,0.95732052,13
171.21,130.21,71.47,-30.47,229.95,110,-241,365,8436,147.21,82.64,49.2,15.37,180.65,156,-219,356,8322,133.15,48.46,39.1,45.59,142.51,118,-207,286,7923,175.12,113.52,64.92,-3.32,223.72,120,-196,349,7789,183.86,139.57,75.07,-30.78,248.36,105,-220,349,7926,140.74,48.59,35.36,56.79,153.97,159,-183,344,7743,0.917852063,11.65
169.84,149.17,66.91,-46.24,252.1,85,-213,374,9174,153.88,82.48,53.36,18.04,183,147,-246,316,8828,159.57,84.27,46.89,28.41,196.95,136,-196,365,8536,167.44,144.78,57.44,-34.78,254.78,100,-245,395,9017,165.41,157.21,64.52,-56.32,258.1,65,-250,374,8538,165.02,116.58,54.81,-6.37,226.79,125,-231,406,9288,1.012426422,13.85
190.22,150.18,71.78,-31.74,268.62,95,-223,373,13648,175.9,122.51,65.2,-11.81,233.21,148,-249,354,12920,149.95,50.15,42.23,57.57,157.87,153,-171,397,13599,190.82,114.42,64,12.4,241.24,137,-245,356,13405,199.41,158.92,79.18,-38.69,279.15,81,-242,367,13338,177.49,95.08,55.07,27.34,217.5,151,-192,359,13651,1.000219812,13.1
171.92,117.96,51.84,2.12,238.04,149,-251,384,7612,144.63,58.75,39.58,46.3,163.8,158,-250,321,7514,126.99,18.75,32.67,75.57,113.07,156,-224,254,6870,175.18,122.06,54.25,-1.13,242.99,152,-249,379,7038,188.62,141.24,52.46,-5.08,277.4,127,-247,398,6787,132.65,24.76,31.69,76.2,125.72,150,-243,309,7172,0.942196532,11.6
180.3,172.6,63.04,-55.34,289.86,85,-249,386,8951,169.58,156.18,68.73,-55.33,257.03,106,-248,368,8723,181.85,86.91,51.17,43.77,217.59,166,-248,365,9278,179.09,171.39,73.35,-65.65,277.13,116,-245,366,8759,182.28,181.17,82.85,-81.74,280.6,66,-234,384,8953,179.84,101.14,53.98,24.72,227,150,-249,375,8857,0.98949838,13.3
185.47,103.09,62.3,20.08,226.26,112,-245,388,14698,174.16,74.82,70.98,28.36,178,114,-248,335,13737,145.67,52.47,68.53,24.67,129.61,119,-252,275,14256,146.31,54.72,60.26,31.33,140.77,117,-251,328,14482,200.28,105.45,63.36,31.47,242.37,126,-204,403,14301,186.66,76.6,59.82,50.24,203.44,126,-251,358,14424,0.981358008,14.85
169.7,131.79,72.96,-35.05,228.53,104,-214,363,8173,141.53,65.72,61.96,13.85,145.29,124,-253,339,8105,134.72,63.58,52.94,18.2,145.36,87,-250,313,7832,174.55,103.63,65.67,5.25,212.51,117,-255,354,7829,185.13,133.3,78.71,-26.88,239.72,84,-251,356,8062,157.48,82.08,59.69,15.71,179.87,109,-213,362,7878,0.963905543,14.75
182.24,123.97,74.95,-16.68,231.26,109,-254,350,8300,180.84,109.9,70.2,0.74,220.54,131,-214,355,8212,143.23,50.72,52.27,40.24,141.68,122,-255,346,8117,176.49,84.33,56.89,35.27,203.93,130,-251,341,7993,206.41,168.27,97.66,-59.52,277.02,91,-250,360,8038,185.83,116.32,73.86,-4.35,228.29,105,-252,355,8217,0.99,12.2
169.01,103.67,70.38,-5.04,202.3,115,-251,377,8700,174.16,123.01,86.56,-35.41,210.61,103,-247,343,8310,147.52,56.54,56.72,34.26,147.34,117,-217,271,8274,156.27,77.72,59.03,19.52,174.96,107,-253,346,8474,191.29,134.06,83.27,-26.04,242.08,94,-253,340,8127,179.21,96.33,67.22,15.66,208.32,108,-256,341,8793,1.010689655,13
172.97,104.41,72.7,-4.14,204.68,79,-254,354,9234,158.21,69.87,64.91,23.43,163.17,127,-257,322,9030,162.11,61.23,60.39,40.49,162.95,124,-252,297,8726,184.58,120.25,75.51,-11.18,229.32,107,-254,350,8887,176.12,108.97,71.66,-4.51,213.43,77,-178,358,8722,154.98,61.93,58.34,34.71,158.57,109,-238,314,8662,0.938055014,14.35
171.78,110.48,73.89,-12.59,208.37,118,-254,353,12828,180,158.63,83.28,-61.91,255.35,78,-251,367,12364,165.67,66.74,62.73,36.2,169.68,118,-254,263,12548,179.21,77.87,71.35,29.99,185.73,122,-254,296,12455,186.3,107.95,75.71,2.64,218.54,126,-253,371,12265,186.43,141.67,78.38,-33.62,249.72,115,-253,378,12648,0.985968195,12.65
173.54,124.52,66.48,-17.46,231.58,90,-197,385,9511,185.43,121.24,68.89,-4.7,237.78,117,-251,354,9556,166.04,67.93,63.75,34.36,170.22,122,-251,291,9022,186.46,129.55,67.87,-10.96,248.14,110,-250,382,9023,187.19,110.17,65.21,11.81,232.15,103,-140,376,8805,169.66,81.27,58.47,29.92,192.46,115,-250,361,8777,0.922826201,16.65
176.24,146.21,74.13,-44.1,248.32,86,-233,369,8025,173.13,117.54,69.37,-13.78,221.3,117,-250,351,7932,152.42,61.54,50.23,40.65,163.73,131,-255,293,7729,189.53,148.35,73.16,-31.98,264.72,122,-255,377,7926,200.9,196.67,90.77,-86.54,306.8,20,-256,386,7721,166.19,131.19,65.15,-30.15,232.23,88,-177,382,7687,0.95788162,13.35
191.73,171.97,92.58,-72.82,271.12,52,-240,366,9870,182.25,141.52,81.68,-40.95,242.09,94,-251,352,9539,180.17,98.33,61.09,20.75,217.41,127,-255,395,9435,190.4,160.47,82.23,-52.3,268.64,99,-241,367,9591,198.39,178.14,92.46,-72.21,284.07,48,-254,366,9769,197.56,172.81,94.41,-69.66,275.96,80,-255,370,9456,0.958054711,12.8
185.32,146.28,80.38,-41.34,251.22,85,-227,370,12172,159.16,61.92,62.88,34.36,158.2,136,-259,331,11907,171,73.25,65.68,32.07,178.57,120,-254,307,11614,189.34,109.47,75.45,4.42,223.36,122,-234,350,10987,191,151.86,84.31,-45.17,258.55,73,-239,386,11290,175.24,100.83,65.78,8.63,210.29,132,-253,360,11617,0.954403549,12.9
168.81,150.46,75.71,-57.36,243.56,66,-250,364,10069,160.43,110.3,75.84,-25.71,194.89,93,-251,357,9813,135.6,66.23,59.73,9.64,142.1,81,-193,285,9586,151.53,105.09,61.42,-14.98,195.2,69,-250,372,9451,181.57,173.5,93.14,-85.07,261.93,47,-241,356,9620,192,186.07,106.14,-100.21,271.93,29,-250,369,9658,0.959181647,11.65
173.74,95,63.21,15.53,205.53,117,-240,352,7854,122.36,58.56,52.78,11.02,128.14,99,-238,310,7701,124.98,36.32,50.6,38.06,110.7,119,-138,239,7285,142.97,57.59,57.22,28.16,143.34,111,-255,284,7554,166.67,104.71,61.14,0.82,210.24,83,-250,364,7381,158.02,66.51,53.73,37.78,170.8,108,-246,329,7431,0.946142093,14.3
160.72,86.73,62.05,11.94,185.4,125,-250,311,5537,165.22,141.77,67.02,-43.57,239.97,77,-249,384,5484,150.84,56.23,55.33,39.28,151.74,96,-249,316,5679,162.18,73.22,57.48,31.48,177.92,104,-250,331,5213,174.25,122.9,68.4,-17.05,228.75,105,-198,382,5656,171.81,100.23,61.84,9.74,210.2,84,-237,337,5342,0.964782373,15.3
173.99,92.63,75.28,6.08,191.34,115,-240,375,9549,169.34,90.48,71.72,7.14,188.1,115,-247,325,9308,144.86,52.85,64.5,27.51,133.21,130,-174,304,8909,183.04,126.26,83.16,-26.38,226.14,131,-241,360,9023,194.57,158.12,91.44,-54.99,261.25,84,-250,367,9008,169.76,90.66,64.99,14.11,195.43,107,-195,370,8752,0.916535763,16.7
186.51,107.23,61.69,17.59,232.05,108,-250,346,11141,123.39,40.83,54.66,27.9,109.56,107,-226,295,10585,131.18,49.69,57.84,23.65,123.03,117,-238,286,10192,147.57,49.86,52.73,44.98,144.7,131,-253,293,10023,188.14,80.8,57.8,49.54,211.14,123,-155,331,10461,188.14,80.8,57.8,49.54,211.14,123,-155,331,10461,0.938964186,14.8
179.6,139.93,76.58,-36.91,242.95,109,-220,353,11224,177.16,110.59,80.46,-13.89,207.29,96,-240,321,11102,156.51,52.99,67.16,36.36,142.34,120,-253,270,11063,176.12,75.05,70.99,30.08,180.18,131,-194,352,11099,200.22,153.57,89.81,-43.16,263.98,95,-249,374,10869,194.93,159.92,84.19,-49.18,270.66,40,-244,366,11043,0.983873842,13.2
165.55,112.21,70.75,-17.41,207.01,105,-252,358,12505,178.15,162.78,83.31,-67.94,257.62,100,-246,345,11849,168.7,70.95,56.37,41.38,183.28,129,-250,317,12507,175.14,136.5,79.04,-40.4,232.6,127,-250,349,11764,188.86,156.94,86.9,-54.98,258.9,83,-246,351,12203,175.86,119.31,71.94,-15.39,223.23,99,-251,351,12170,0.973210716,10.8
180.37,168,82.03,-69.66,266.34,82,-241,361,12340,166.87,103.49,72.01,-8.63,198.35,111,-251,330,12137,172.91,102.84,69.46,0.61,206.29,101,-203,331,11883,175.13,103.05,73.24,-1.16,204.94,88,-224,341,11815,179.93,139.8,83.15,-43.02,236.58,94,-248,352,11929,195.39,186.16,102.65,-93.42,278.9,44,-251,371,11860,0.961102107,13
171.89,88.05,59.99,23.85,199.95,120,-250,381,14024,154.64,71.1,56.83,26.71,168.91,135,-247,333,13080,117.66,45.07,56.32,16.27,106.41,102,-252,275,13885,126.93,47.45,56.01,23.47,118.37,103,-222,323,13584,178.59,66.01,63.54,49.04,181.06,123,-139,316,13818,180.73,68.33,54.42,57.98,194.64,145,-236,325,13880,0.989731888,14.75
175.68,166.47,77.24,-68.03,264.91,63,-240,359,12913,153.21,69.46,65.03,18.72,157.64,116,-253,304,12572,164,89.57,63.14,11.29,190.43,110,-249,353,12622,174.44,91.36,64.67,18.41,201.13,122,-251,368,12861,179.35,108.62,70.35,0.38,217.62,122,-250,357,13060,178.37,112.76,70.9,-5.29,220.23,117,-236,348,13004,1.007047162,12.95
180.88,115.06,71.18,-5.36,224.76,139,-249,345,12205,169.81,116.7,73.86,-20.75,212.65,98,-224,350,12046,164.23,76.96,68.64,18.63,172.55,119,-241,358,11569,157.28,68.63,53.39,35.26,172.52,119,-189,347,11415,172.17,57.87,61.89,52.41,168.15,133,-243,321,12065,186.9,94.75,66.68,25.47,214.97,134,-235,360,11943,0.978533388,12.1
188.19,126.79,74.87,-13.47,240.11,108,-254,362,8953,180.99,135.29,82.11,-36.41,234.17,121,-248,345,8652,149.29,56.12,61.81,31.36,143.6,124,-240,312,8471,164.95,76.43,68.12,20.4,173.26,100,-243,375,8620,188.97,137.72,83.43,-32.18,243.26,100,-243,369,8585,200.27,152.84,85.22,-37.79,267.89,92,-243,361,8497,0.949067352,13.95
188.06,142.2,79.95,-34.09,250.31,119,-245,367,8655,170.93,86.29,72.13,12.51,185.09,127,-248,329,8423,159.49,53.2,56.8,49.49,155.89,125,-252,284,8217,169.93,71.27,57.72,40.94,183.48,133,-250,332,8460,192.69,157.6,93.59,-58.5,256.7,115,-247,366,8161,191.46,151.55,86.04,-46.13,256.97,91,-241,368,8324,0.96175621,13.5
181.3,131.84,72.88,-23.42,240.26,131,-246,371,11142,171.72,102.47,71.56,-2.31,202.63,109,-244,350,10869,162.82,70.07,60.38,32.37,172.51,133,-249,324,11030,174.45,92.58,68.43,13.44,198.6,117,-248,365,11247,196.31,154.98,87.18,-45.85,264.11,65,-236,360,10777,177.63,83.79,63.59,30.25,197.83,131,-248,335,11149,1.000628253,12.9
192.08,165.59,84.2,-57.71,273.47,96,-241,371,9319,181.26,98.26,64.7,18.3,214.82,142,-245,354,9192,165.41,72.14,62.45,30.82,175.1,136,-248,377,9121,189.7,125.62,77.9,-13.82,237.42,164,-223,369,9130,201.81,151.08,88.61,-37.88,264.28,83,-241,361,9191,194.31,80.5,68.47,45.34,206.34,156,-251,356,8969,0.962442322,13.3
174.69,95.49,68.41,10.79,201.77,125,-185,357,10215,176.95,130.08,75.35,-28.48,231.68,100,-236,385,9874,148.7,63.75,56.18,28.77,156.27,106,-216,343,9627,175.94,85.54,73.27,17.13,188.21,120,-246,347,9850,194.26,150.14,87.64,-43.52,256.76,107,-241,366,9526,182.68,98.78,66,17.9,215.46,116,-206,337,9914,0.970533529,12.9
180.44,86.13,66.14,28.17,200.43,137,-246,362,14022,184.8,172.42,85.18,-72.8,272.04,75,-250,376,13051,181.75,87.14,64.46,30.15,204.43,145,-247,378,13846,181.36,112.05,68.12,1.19,225.29,127,-238,390,13229,183.91,118.01,73.23,-7.33,228.69,125,-238,357,12871,188.5,120.24,75.78,-7.52,232.96,121,-246,356,13259,0.945585508,13.5
187.28,170.8,80.94,-64.46,277.14,96,-246,393,9480,156.75,80.27,69.1,7.38,167.92,130,-242,314,9299,159.48,77.18,55.62,26.68,181.04,125,-243,322,9152,161.79,87.55,63.47,10.77,185.87,109,-223,358,8820,183.6,145.44,86.39,-48.23,242.65,107,-240,367,8884,188.44,147.42,83.48,-42.46,252.38,88,-235,363,9273,0.978164557,11.5
179.61,101.58,67.32,10.71,213.87,134,-253,362,10204,155.9,66.41,63.54,25.95,158.77,129,-248,323,9712,143.8,46.11,49.46,48.23,140.45,117,-254,294,9453,164.9,57.04,53.32,54.54,168.62,143,-254,287,10096,190.43,101.82,63.85,24.76,228.4,123,-253,344,9872,191.32,104.07,67.64,19.61,227.75,115,-253,385,9776,0.958055664,12.7
169.24,169.21,78.68,-78.65,259.77,41,-255,354,10584,178.58,147.62,90.32,-59.36,235.88,49,-249,338,10110,167.96,116.24,69.41,-17.69,214.79,83,-213,346,9629,173.59,133.65,77.47,-37.53,229.77,62,-222,335,9676,179.75,178.28,86.84,-85.37,271.19,50,-253,349,9594,181.91,192.29,86.54,-96.92,287.66,0,-254,357,9727,0.919028723,10.65
194.02,162.95,83.79,-52.72,273.18,104,-242,374,9789,168.44,76.94,65.47,26.03,179.91,132,-257,310,9252,166.77,60.3,59.37,47.1,167.7,146,-254,316,9201,187.51,98.43,70.92,18.16,215.02,117,-187,346,9411,208.71,159.26,99.75,-50.3,268.22,105,-248,373,9048,184.52,94.28,65.28,24.96,213.52,132,-241,362,9517,0.972213709,11.75
185.01,172.03,83.17,-70.19,273.87,118,-253,368,9371,181.14,172.6,83.82,-75.28,269.92,79,-252,367,9085,161.09,81.84,56.06,23.19,186.87,129,-254,383,9087,175.35,100.77,69.16,5.42,206.96,125,-254,351,9246,190.64,199.13,88.51,-97,301.26,33,-253,360,9171,193.31,174.5,87,-68.19,280.81,54,-250,375,9140,0.975349482,13.2
192.58,149.71,86.93,-44.06,255.36,126,-253,356,8467,171.52,83.23,57.45,30.84,197.3,129,-207,359,8588,169.03,62.24,57.3,49.49,173.97,136,-254,322,8107,171.14,64.94,56.41,49.79,179.67,132,-184,292,8103,192.36,128.98,80.03,-16.65,241.31,122,-248,346,7912,194.73,144.12,85.55,-34.94,253.3,95,-241,376,8122,0.959253573,13.5
200.3,139.47,65.55,-4.72,274.22,89,-248,380,13968,165.27,83.49,49.89,31.89,198.87,159,-253,336,13083,157.46,52.32,51.84,53.3,157.94,131,-216,311,13448,156.8,56.5,45.03,55.27,168.27,154,-254,355,13341,192.82,112.23,56.96,23.63,248.09,140,-204,385,13375,195.75,114.24,53.24,28.27,256.75,123,-210,373,13488,0.965635739,13.95
