1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area,Sweetness
187.96,93.48,64.35,30.13,217.09,161,-184,374,12250,185,164.82,79.16,-58.98,270.66,94,-209,379,11480,177.32,60.7,59.58,57.04,178.44,153,-122,375,11588,190.84,103.02,60.46,27.36,233.4,174,-189,379,11719,203.1,138.55,68.01,-3.46,273.64,133,-186,368,11873,196.96,145.88,77.72,-26.64,265.12,97,-202,364,11987,0.978530612,15.4
174.51,138.64,63.58,-27.71,249.57,118,-229,395,7527,102.41,34.65,39.94,27.82,97.12,101,-194,298,7428,126.07,33.41,41.9,50.76,117.58,134,-241,297,7122,122.08,40.37,36.98,44.73,125.47,149,-240,297,6942,141.19,70.26,44.74,26.19,166.71,120,-212,373,7154,136.67,51.51,45.79,39.37,142.39,130,-242,344,7076,0.94008237,14.1
174,129.56,73.01,-28.57,230.55,143,-240,369,12723,168.95,133.12,70.42,-34.59,231.65,123,-241,375,11721,174.5,72.7,54.62,47.18,192.58,149,-175,304,11726,175.68,89.69,59.28,26.71,206.09,141,-165,365,11755,179.92,100.24,64.25,15.43,215.91,136,-219,367,11765,183.9,157.56,80.5,-54.16,260.96,100,-193,374,12165,0.956142419,13.6
184.67,166.6,75.44,-57.37,275.83,123,-246,386,15211,180.34,110.98,63.41,5.95,227.91,138,-245,377,14536,155.14,44.57,55.71,54.86,144,166,-245,279,14936,168.75,85.59,55.17,27.99,199.17,171,-241,379,15384,187.82,116.72,56.97,14.13,247.57,152,-233,433,15044,196.82,156.02,77.53,-36.73,275.31,117,-206,395,15253,1.00276116,14.6
180.02,133.34,67.6,-20.92,245.76,142,-242,382,10033,167.22,81.27,64.05,21.9,184.44,150,-246,332,9848,146.27,32.86,43.31,70.1,135.82,174,-240,253,9675,168.15,88.93,57.49,21.73,199.59,154,-226,356,9905,192.84,162.89,83.53,-53.58,272.2,94,-225,362,9621,183.87,134.15,69.06,-19.34,248.96,117,-201,375,9870,0.983753613,13.6
180.41,145.25,79.91,-44.75,245.75,129,-216,369,10791,166.59,102.76,59.81,4.02,209.54,133,-246,379,10664,164.28,64.44,42.94,56.9,185.78,157,-196,348,10064,181.14,138.62,67.67,-25.15,252.09,136,-210,388,10386,184.02,175.92,76.68,-68.58,283.26,62,-206,402,10221,179.35,148.63,75.34,-44.62,252.64,96,-206,378,10238,0.948753591,14.7
187.32,157.57,82.94,-53.19,261.95,102,-212,380,12182,170.85,79.36,72.11,19.38,178.1,159,-248,305,11811,153.29,48.84,46.66,57.79,155.47,173,-193,323,11377,175.27,98.55,68.42,8.3,205.4,169,-247,346,11460,189.31,159.45,93.99,-64.13,254.77,112,-225,357,11425,193.46,148.31,88.82,-43.67,252.95,93,-241,370,11497,0.943769496,13.95
179.48,184.08,78.62,-83.22,284.94,30,-252,373,8496,177.93,180.42,84.39,-86.88,273.96,44,-244,364,8278,187.89,149.27,78.6,-39.98,258.56,72,-229,376,8125,192.17,178.36,103.25,-89.44,267.28,71,-242,363,8520,189.68,189.31,100.4,-100.03,278.59,64,-224,359,8421,177.12,185.78,76.41,-85.07,286.49,19,-204,373,8153,0.95962806,12.6
180.93,136.13,75.56,-30.76,241.5,134,-243,375,10525,177.12,170.85,84.48,-78.21,263.49,37,-209,366,10253,183.44,131.53,76.55,-24.64,238.42,151,-172,361,10375,190.36,143.53,81.85,-35.02,252.04,148,-198,357,10107,195.86,165.69,88.36,-58.19,273.19,78,-167,380,10171,193.28,167.86,89.07,-63.65,272.07,81,-190,366,10584,1.005605701,12.6
162.21,105.98,60.27,-4.04,207.92,130,-246,355,10500,170.79,121.95,74.79,-25.95,217.95,124,-236,362,10453,155.85,67.61,51.04,37.2,172.42,147,-210,360,10268,174.61,93.56,61.83,19.22,206.34,138,-191,333,9876,189.07,159.92,86.35,-57.2,262.64,95,-189,387,10156,179.35,108.65,68.44,2.26,219.56,122,-200,355,10070,0.959047619,12.15
147.66,66.35,51.37,29.94,162.64,146,-249,367,8413,172.08,108.35,75.42,-11.69,205.01,122,-249,350,8091,125.04,30.98,43.65,50.41,112.37,118,-214,248,8132,169.24,62.35,53.14,53.75,178.45,144,-171,296,8064,178.43,95.19,61.39,21.85,212.23,129,-200,342,8046,145.75,54.33,50.16,41.26,149.92,117,-234,312,7983,0.948888625,12.65
165.21,115.6,57.2,-7.59,223.61,159,-228,385,13261,165.31,128.13,61.89,-24.71,231.55,91,-234,372,12413,155.77,58,39.4,58.37,174.37,145,-245,328,12622,176.21,101.12,54.01,21.08,223.32,149,-192,387,12463,171.53,96.83,49.02,25.68,219.34,127,-205,359,12551,150.42,67.2,39.58,43.64,178.04,139,-242,331,12340,0.930548224,13.1
176.76,105.8,66.12,4.84,216.44,133,-220,390,12149,156.13,73.87,64.86,17.4,165.14,134,-201,344,11650,116.82,32.13,49.01,35.68,99.94,97,-246,262,11103,170.39,58.67,54.98,56.74,174.08,144,-249,320,11260,178.89,98.11,57.83,22.95,219.17,139,-168,374,11726,127.13,35.54,48.01,43.58,114.66,145,-232,285,11966,0.984937032,14.8
151.71,71.91,55.56,24.24,168.06,158,-248,346,13894,167.49,130.02,71.87,-34.4,225.64,111,-222,372,13278,157.67,52.59,48.67,56.41,161.59,174,-237,304,13606,165.07,69.01,52.63,43.43,181.45,150,-228,391,13396,158.79,41.81,46.79,70.19,153.81,170,-191,299,13474,164.51,82.11,54.71,27.69,191.91,133,-180,340,13121,0.944364474,12.85
168.67,132.51,68.35,-32.19,232.83,124,-244,372,10216,165.53,89.52,59.55,16.46,195.5,148,-250,354,9618,158.57,60.16,41.09,57.32,177.64,144,-217,342,9304,184.73,105.74,63.02,15.97,227.45,135,-149,359,9355,190.29,155.3,82.86,-47.87,262.73,94,-225,357,9281,182.06,111.88,64.51,5.67,229.43,124,-172,350,9586,0.938332028,12.2
155.96,97.16,57.85,0.95,195.27,129,-244,365,11516,159.25,122.18,70.07,-33,211.36,127,-246,363,10823,132.9,49.25,45.13,38.52,137.02,128,-233,301,10903,142.95,81.3,53.43,8.22,170.82,113,-239,346,10937,173.19,160.29,73.05,-60.15,260.43,63,-206,384,10829,170.97,136.23,65.19,-30.45,242.01,111,-189,384,11596,1.006946857,14.35
178.01,85.37,53.92,38.72,209.46,157,-244,366,15582,153.59,51.62,59.23,42.74,145.98,166,-228,356,14800,117.62,34.04,52.18,31.4,99.48,139,-203,253,15358,176.16,64.35,48.97,62.84,191.54,181,-247,341,15861,184.8,76.94,48.47,59.39,213.27,158,-166,358,15401,137.97,39.73,53.52,44.72,124.18,169,-241,277,15580,0.999871647,14.8
179.94,140.65,75.65,-36.36,244.94,134,-239,379,11488,171.49,155.76,78.12,-62.39,249.13,71,-225,370,10720,185.12,130.53,72.42,-17.83,243.23,116,-242,369,11111,185.86,173.04,80.18,-67.36,278.72,80,-245,366,11168,180.56,157.7,76.36,-53.5,261.9,101,-234,370,11590,188.05,126.64,69.78,-8.37,244.91,101,-228,375,11339,0.987029944,12.4
176.92,146.58,68.22,-37.88,255.28,103,-218,389,10534,156.01,66.77,52.06,37.18,170.72,153,-247,321,10239,167.54,77.31,47.52,42.71,197.33,165,-242,359,9366,174.98,109.64,60.74,4.6,223.88,132,-208,364,10387,178.1,113.65,65.23,-0.78,226.52,139,-196,351,9513,163.53,78.48,49.95,35.1,192.06,152,-223,357,9883,0.938200114,12.4
