red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
190.49,104.8,62.05,22.43,175.74,190.49,23.64,233.24,163.0,-154.0,353.0
195.18,136.55,66.23,16.03,169.65,195.19,-7.6,265.5,114.0,-219.0,392.0
186.91,97.03,56.53,21.64,177.71,186.91,33.35,227.41,119.0,-150.0,345.0
183.65,172.51,73.14,26.59,155.86,184.1,-62.0,283.02,64.0,-202.0,394.0
183.74,156.39,95.03,22.55,126.29,184.91,-67.68,245.1,75.0,-234.0,354.0
196.74,131.29,82.78,22.87,149.01,196.84,-17.33,245.25,143.0,-203.0,372.0
184.88,175.08,91.92,26.55,133.75,189.58,-82.12,268.04,104.0,-229.0,368.0
200.33,165.75,89.4,20.15,142.43,200.34,-54.82,276.68,42.0,-189.0,386.0
193.32,156.95,83.43,21.85,148.05,193.61,-47.06,266.84,93.0,-239.0,378.0
181.67,126.8,70.1,28.06,162.58,182.05,-15.23,238.37,155.0,-243.0,370.0
155.67,88.95,61.06,52.4,161.3,156.03,5.66,183.56,148.0,-238.0,376.0
141.46,42.32,45.83,118.03,188.58,141.46,53.31,137.95,149.0,-226.0,280.0
169.47,81.55,51.42,35.27,181.45,169.49,36.5,199.6,151.0,-206.0,376.0
181.1,143.15,71.59,20.93,160.92,183.21,-33.64,252.66,128.0,-234.0,364.0
179.54,124.82,62.23,28.04,170.13,179.54,-7.51,242.13,121.0,-232.0,390.0
187.96,93.48,64.35,61.09,176.97,187.96,30.13,217.09,161.0,-184.0,374.0
185.0,164.82,79.16,26.01,148.41,187.0,-58.98,270.66,94.0,-209.0,379.0
177.32,60.7,59.58,83.99,178.35,177.32,57.04,178.44,153.0,-122.0,375.0
190.84,103.02,60.46,29.59,174.67,190.86,27.36,233.4,174.0,-189.0,379.0
203.1,138.55,68.01,15.73,170.21,203.1,-3.46,273.64,133.0,-186.0,368.0
196.96,145.88,77.72,21.2,154.3,196.96,-26.64,265.12,97.0,-202.0,364.0
174.51,138.64,63.58,22.24,167.7,175.16,-27.71,249.57,118.0,-229.0,395.0
102.41,34.65,39.94,128.88,179.19,102.41,27.82,97.12,101.0,-194.0,298.0
126.07,33.41,41.9,135.82,192.23,126.07,50.76,117.58,134.0,-241.0,297.0
122.08,40.37,36.98,89.69,189.88,122.08,44.73,125.47,149.0,-240.0,297.0
141.19,70.26,44.74,39.26,180.44,141.19,26.19,166.71,120.0,-212.0,373.0
136.67,51.51,45.79,105.04,185.51,136.67,39.37,142.39,130.0,-242.0,344.0
174.0,129.56,73.01,22.7,154.67,174.13,-28.57,230.55,143.0,-240.0,369.0
168.95,133.12,70.42,23.56,152.63,170.83,-34.59,231.65,123.0,-241.0,375.0
174.5,72.7,54.62,40.05,178.54,174.5,47.18,192.58,149.0,-175.0,304.0
175.68,89.69,59.28,28.55,173.79,175.68,26.71,206.09,141.0,-165.0,365.0
179.92,100.24,64.25,15.86,165.42,179.92,15.43,215.91,136.0,-219.0,367.0
183.9,157.56,80.5,21.87,146.8,184.88,-54.16,260.96,100.0,-193.0,374.0
184.67,166.6,75.44,30.8,154.84,186.47,-57.37,275.83,123.0,-246.0,386.0
180.34,110.98,63.41,33.2,167.25,180.52,5.95,227.91,138.0,-245.0,377.0
155.14,44.57,55.71,132.26,187.07,155.14,54.86,144.0,166.0,-245.0,279.0
168.75,85.59,55.17,45.15,176.63,168.89,27.99,199.17,171.0,-241.0,379.0
187.82,116.72,56.97,14.2,179.29,187.82,14.13,247.57,152.0,-233.0,433.0
196.82,156.02,77.53,19.46,156.44,196.86,-36.73,275.31,117.0,-206.0,395.0
180.02,133.34,67.6,25.06,166.08,180.2,-20.92,245.76,142.0,-242.0,382.0
167.22,81.27,64.05,52.03,165.18,167.22,21.9,184.44,150.0,-246.0,332.0
146.27,32.86,43.31,141.19,198.2,146.27,70.1,135.82,174.0,-240.0,253.0
168.15,88.93,57.49,49.93,175.75,168.15,21.73,199.59,154.0,-226.0,356.0
192.84,162.89,83.53,22.19,148.03,193.36,-53.58,272.2,94.0,-225.0,362.0
183.87,134.15,69.06,21.57,162.98,183.87,-19.34,248.96,117.0,-201.0,375.0
180.41,145.25,79.91,24.89,146.32,181.29,-44.75,245.75,129.0,-216.0,369.0
166.59,102.76,59.81,24.45,167.03,166.91,4.02,209.54,133.0,-246.0,379.0
164.28,64.44,42.94,15.33,189.88,164.28,56.9,185.78,157.0,-196.0,348.0
181.14,138.62,67.67,19.71,162.73,181.79,-25.15,252.09,136.0,-210.0,388.0
184.02,175.92,76.68,26.82,149.22,185.86,-68.58,283.26,62.0,-206.0,402.0
179.35,148.63,75.34,28.96,149.55,179.69,-44.62,252.64,96.0,-206.0,378.0
187.32,157.57,82.94,21.3,146.02,187.89,-53.19,261.95,102.0,-212.0,380.0
170.85,79.36,72.11,56.42,153.53,170.85,19.38,178.1,159.0,-248.0,305.0
153.29,48.84,46.66,90.16,189.82,153.29,57.79,155.47,173.0,-193.0,323.0
