red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
172.13,36.68,50.8,127.34,204.74,172.13,84.65,158.01,171.0,-161.0,276.0,0.2130947539650264,1.2130947539650263,0.5082205309940161,1.5082205309940162,0.8243379148508213,0.1756620851491786,0.3924101735970932,1.1645359529897277,0.6630330110550441,0.3369669889449558
134.38,38.15,52.33,150.04,185.45,134.38,43.9,120.2,116.0,-237.0,275.0,0.2838964131567197,1.28389641315672,0.6733144813216252,1.6733144813216254,0.7788790355300527,0.2211209644699472,0.4846017888704408,1.2043275668148468,0.5976162945832962,0.4023837054167036
130.42,35.3,48.01,138.65,195.39,130.42,47.11,117.71,151.0,-203.0,313.0,0.2706640085876399,1.2706640085876395,0.6387823953381384,1.6387823953381382,0.7869901037895246,0.2130098962104755,0.4669057893851931,1.1978366866558314,0.6102091423758949,0.3897908576241052
174.0,81.99,55.53,39.37,175.16,174.01,36.48,200.46,172.0,-195.0,402.0,0.4712068965517241,1.4712068965517242,0.7903448275862068,1.7903448275862068,0.6797140513301301,0.3202859486698698,0.5991373676643575,1.3572082080773755,0.5585516178736518,0.4414483821263482
181.23,121.61,65.7,19.96,164.48,181.25,-6.08,237.14,162.0,-162.0,381.0,0.6710257683606468,1.6710257683606466,1.0335485294929097,2.0335485294929097,0.5984348170651169,0.4015651829348831,0.75855505608877,1.4924877495646538,0.4917512346014001,0.5082487653986
172.47,151.14,76.68,23.84,150.81,176.04,-55.35,246.93,118.0,-185.0,369.0,0.8763263176204557,1.876326317620456,1.3209253783266657,2.320925378326665,0.5329563363307684,0.4670436636692314,0.9143889223359422,1.6066225165562915,0.430862624597167,0.5691373754028329
195.24,109.71,66.17,24.71,169.9,195.24,19.36,238.78,182.0,-224.0,358.0,0.5619237861094037,1.5619237861094035,0.900839991804958,1.9008399918049577,0.6402361042793902,0.3597638957206099,0.6728128227688305,1.4196855514326152,0.5260832075878422,0.4739167924121578
164.42,85.48,56.74,85.06,177.71,165.11,22.2,193.16,163.0,-227.0,395.0,0.5198880914730569,1.5198880914730568,0.8649799294489722,1.864979929448972,0.6579431772709083,0.3420568227290916,0.6430638451799602,1.3865075058780971,0.5361987998956431,0.4638012001043569
204.53,137.76,79.75,16.32,156.93,204.53,-12.98,262.54,158.0,-237.0,363.0,0.673544223341319,1.673544223341319,1.0634625727277172,2.063462572727717,0.5975342545794502,0.4024657454205498,0.7651259321795414,1.4845926551287465,0.484622310681452,0.515377689318548
164.14,70.38,59.06,85.13,175.81,164.14,34.7,175.46,151.0,-233.0,354.0,0.4287803094918971,1.4287803094918972,0.7885951017424151,1.788595101742415,0.6998976633122974,0.3001023366877025,0.5799283154121864,1.3153225806451614,0.5590980312010355,0.4409019687989645
